,date,maximum temperature,minimum temperature,average temperature,precipitation,snow fall,snow depth
303,2016-10-30,76,54,65.0,0.56,0,0
304,2016-10-31,54,44,49.0,0,0,0
305,2016-11-01,58,40,49.0,0,0,0
306,2016-11-02,70,54,62.0,0,0,0
307,2016-11-03,72,57,64.5,0,0,0
308,2016-11-04,61,47,54.0,0,0,0
309,2016-11-05,62,44,53.0,0,0,0
310,2016-11-06,59,45,52.0,0,0,0
311,2016-11-07,53,41,47.0,0,0,0
312,2016-11-08,66,41,53.5,0,0,0
313,2016-11-09,59,49,54.0,0.06,0,0
314,2016-11-10,56,40,48.0,0,0,0
315,2016-11-11,63,41,52.0,0,0,0
316,2016-11-12,50,37,43.5,0,0,0
317,2016-11-13,61,41,51.0,0,0,0
318,2016-11-14,62,46,54.0,0,0,0
319,2016-11-15,56,47,51.5,1.81,0,0
320,2016-11-16,61,45,53.0,0,0,0
321,2016-11-17,61,49,55.0,0,0,0
322,2016-11-18,64,44,54.0,0,0,0
323,2016-11-19,63,37,50.0,0.25,0,0
324,2016-11-20,42,34,38.0,0.31,T,0
325,2016-11-21,41,36,38.5,0,0,0
326,2016-11-22,41,37,39.0,0,0,0
327,2016-11-23,45,35,40.0,0,0,0
328,2016-11-24,48,38,43.0,0.03,0,0
329,2016-11-25,54,45,49.5,0.02,0,0
330,2016-11-26,50,40,45.0,0,0,0
331,2016-11-27,50,39,44.5,0,0,0
332,2016-11-28,52,38,45.0,0,0,0
333,2016-11-29,60,51,55.5,2.2,0,0
334,2016-11-30,58,50,54.0,0.73,0,0
335,2016-12-01,54,42,48.0,0.07,0,0
336,2016-12-02,51,40,45.5,0,0,0
337,2016-12-03,47,41,44.0,T,0,0
338,2016-12-04,47,39,43.0,0,0,0
339,2016-12-05,49,38,43.5,0.19,0,0
340,2016-12-06,46,37,41.5,0.35,0,0
341,2016-12-07,46,40,43.0,0.09,0,0
342,2016-12-08,45,35,40.0,0,0,0
343,2016-12-09,39,29,34.0,0,0,0
344,2016-12-10,35,28,31.5,0,0,0
345,2016-12-11,35,28,31.5,0.03,0.4,0
346,2016-12-12,46,34,40.0,0.5,0,0
347,2016-12-13,43,35,39.0,0,0,0
348,2016-12-14,42,34,38.0,0,0,0
349,2016-12-15,34,19,26.5,0,T,0
350,2016-12-16,27,17,22.0,0,0,0
351,2016-12-17,39,24,31.5,0.73,2.8,2
352,2016-12-18,58,31,44.5,0.04,0,1
353,2016-12-19,31,23,27.0,0,0,0
354,2016-12-20,33,20,26.5,0,0,0
355,2016-12-21,40,30,35.0,0,0,0
356,2016-12-22,49,37,43.0,0,0,0
357,2016-12-23,47,38,42.5,0,0,0
358,2016-12-24,47,38,42.5,0.47,0,0
359,2016-12-25,50,36,43.0,0,0,0
360,2016-12-26,50,33,41.5,0.02,0,0
361,2016-12-27,60,40,50.0,0,0,0
362,2016-12-28,40,34,37.0,0,0,0
363,2016-12-29,46,33,39.5,0.39,0,0
364,2016-12-30,40,33,36.5,0.01,T,0
365,2016-12-31,44,31,37.5,0,0,0
